"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"12","0.123(-0.046,0.3)","-0.174(-0.266,-0.081)","-0.111(-0.264,0.046)","-0.248(-0.561,0.059)","-0.439(-0.925,0.047)","-0.167(-0.34,-0.006)","0.199(-0.089,0.453)","-0.131(-0.202,-0.058)","-0.29(-0.4,-0.178)","-0.142(-0.347,0.065)","-0.139(-0.34,0.059)","Olanzapine","-0.058(-0.152,0.036)","-0.071(-0.279,0.131)","-0.601(-0.659,-0.541)","-0.169(-0.266,-0.072)","-0.028(-0.104,0.052)","-0.209(-0.406,-0.01)","-0.206(-0.325,-0.09)","0.122(-0.239,0.703)","-0.095(-0.42,0.248)"
"13","0.181(-0.007,0.373)","-0.116(-0.236,0.008)","-0.053(-0.224,0.123)","-0.19(-0.513,0.129)","-0.381(-0.872,0.11)","-0.109(-0.301,0.069)","0.257(-0.041,0.525)","-0.074(-0.18,0.036)","-0.232(-0.365,-0.097)","-0.084(-0.303,0.136)","-0.081(-0.295,0.133)","0.058(-0.036,0.152)","Paliperidone","-0.013(-0.236,0.206)","-0.543(-0.636,-0.447)","-0.111(-0.234,0.013)","0.03(-0.08,0.142)","-0.151(-0.367,0.062)","-0.148(-0.291,-0.008)","0.18(-0.194,0.765)","-0.037(-0.373,0.313)"
"14","0.195(-0.066,0.46)","-0.102(-0.32,0.119)","-0.04(-0.286,0.21)","-0.176(-0.549,0.198)","-0.368(-0.904,0.16)","-0.096(-0.348,0.155)","0.27(-0.08,0.592)","-0.06(-0.263,0.149)","-0.219(-0.436,0.007)","-0.071(-0.351,0.219)","-0.067(-0.343,0.213)","0.071(-0.131,0.279)","0.013(-0.206,0.236)","Perphenazine","-0.53(-0.728,-0.325)","-0.098(-0.3,0.118)","0.043(-0.157,0.252)","-0.138(-0.423,0.14)","-0.134(-0.35,0.098)","0.194(-0.216,0.801)","-0.024(-0.391,0.358)"
"15","0.724(0.552,0.896)","0.427(0.343,0.51)","0.49(0.346,0.639)","0.353(0.043,0.66)","0.162(-0.322,0.643)","0.434(0.266,0.586)","0.8(0.512,1.051)","0.469(0.409,0.532)","0.311(0.212,0.411)","0.459(0.258,0.66)","0.462(0.267,0.654)","0.601(0.541,0.659)","0.543(0.447,0.636)","0.53(0.325,0.728)","Placebo","0.432(0.347,0.515)","0.573(0.508,0.64)","0.392(0.194,0.588)","0.395(0.284,0.501)","0.723(0.37,1.3)","0.506(0.181,0.841)"
"16","0.293(0.107,0.48)","-0.004(-0.12,0.112)","0.058(-0.107,0.225)","-0.078(-0.401,0.241)","-0.27(-0.765,0.217)","0.002(-0.169,0.164)","0.368(0.071,0.631)","0.038(-0.056,0.134)","-0.121(-0.244,0.007)","0.027(-0.184,0.238)","0.031(-0.178,0.233)","0.169(0.072,0.266)","0.111(-0.013,0.234)","0.098(-0.118,0.3)","-0.432(-0.515,-0.347)","Quetiapine","0.141(0.045,0.242)","-0.04(-0.254,0.167)","-0.036(-0.164,0.091)","0.292(-0.072,0.868)","0.074(-0.254,0.417)"
"17","0.152(-0.023,0.329)","-0.145(-0.246,-0.046)","-0.083(-0.241,0.075)","-0.219(-0.535,0.091)","-0.411(-0.897,0.073)","-0.139(-0.317,0.024)","0.227(-0.059,0.481)","-0.103(-0.178,-0.028)","-0.262(-0.372,-0.152)","-0.114(-0.32,0.096)","-0.11(-0.314,0.09)","0.028(-0.052,0.104)","-0.03(-0.142,0.08)","-0.043(-0.252,0.157)","-0.573(-0.64,-0.508)","-0.141(-0.242,-0.045)","Risperidone","-0.181(-0.387,0.017)","-0.177(-0.304,-0.061)","0.151(-0.206,0.733)","-0.067(-0.392,0.27)"
"18","0.332(0.072,0.592)","0.036(-0.176,0.248)","0.098(-0.142,0.343)","-0.039(-0.403,0.327)","-0.23(-0.748,0.295)","0.042(-0.215,0.294)","0.408(0.068,0.728)","0.078(-0.122,0.278)","-0.081(-0.293,0.136)","0.067(-0.208,0.351)","0.071(-0.204,0.347)","0.209(0.01,0.406)","0.151(-0.062,0.367)","0.138(-0.14,0.423)","-0.392(-0.588,-0.194)","0.04(-0.167,0.254)","0.181(-0.017,0.387)","Sertindole","0.004(-0.212,0.232)","0.331(-0.075,0.932)","0.114(-0.257,0.506)"
"19","0.329(0.131,0.526)","0.032(-0.096,0.164)","0.095(-0.081,0.276)","-0.042(-0.372,0.276)","-0.233(-0.732,0.261)","0.039(-0.155,0.223)","0.405(0.101,0.673)","0.074(-0.038,0.191)","-0.084(-0.219,0.054)","0.064(-0.163,0.287)","0.067(-0.154,0.282)","0.206(0.09,0.325)","0.148(0.008,0.291)","0.134(-0.098,0.35)","-0.395(-0.501,-0.284)","0.036(-0.091,0.164)","0.177(0.061,0.304)","-0.004(-0.232,0.212)","Ziprasidone","0.328(-0.04,0.912)","0.11(-0.225,0.467)"
"20","0.001(-0.589,0.409)","-0.296(-0.873,0.071)","-0.233(-0.828,0.157)","-0.37(-1,0.111)","-0.561(-1.275,0.049)","-0.289(-0.867,0.081)","0.077(-0.537,0.494)","-0.254(-0.836,0.101)","-0.412(-1.001,-0.043)","-0.264(-0.864,0.143)","-0.261(-0.864,0.143)","-0.122(-0.703,0.239)","-0.18(-0.765,0.194)","-0.194(-0.801,0.216)","-0.723(-1.3,-0.37)","-0.292(-0.868,0.072)","-0.151(-0.733,0.206)","-0.331(-0.932,0.075)","-0.328(-0.912,0.04)","Zotepine","-0.218(-0.866,0.271)"
"21","0.219(-0.146,0.578)","-0.078(-0.421,0.251)","-0.016(-0.388,0.344)","-0.152(-0.61,0.282)","-0.344(-0.921,0.223)","-0.072(-0.429,0.267)","0.294(-0.126,0.699)","-0.036(-0.374,0.289)","-0.195(-0.544,0.137)","-0.047(-0.435,0.326)","-0.043(-0.422,0.327)","0.095(-0.248,0.42)","0.037(-0.313,0.373)","0.024(-0.358,0.391)","-0.506(-0.841,-0.181)","-0.074(-0.417,0.254)","0.067(-0.27,0.392)","-0.114(-0.506,0.257)","-0.11(-0.467,0.225)","0.218(-0.271,0.866)","Zuclopenthixol"
