"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"11","0.341(0.081,0.608)","0.015(-0.155,0.176)","0.027(-0.15,0.203)","-0.084(-0.279,0.106)","-0.011(-0.201,0.179)","0.015(-0.216,0.267)","0.565(0.288,0.859)","0.031(-0.14,0.189)","-0.072(-0.253,0.103)","-0.128(-0.578,0.292)","Lurasidone","0.161(0.007,0.304)","0.103(-0.075,0.277)","0.12(-0.138,0.375)","-0.318(-0.45,-0.19)","0.015(-0.143,0.174)","0.164(0.013,0.318)","-0.003(-0.214,0.218)","-0.017(-0.203,0.167)","0.237(-0.045,0.553)","0.081(-0.262,0.413)"
"12","0.18(-0.058,0.445)","-0.147(-0.27,-0.018)","-0.135(-0.28,0.021)","-0.245(-0.415,-0.073)","-0.172(-0.334,-0.005)","-0.147(-0.356,0.101)","0.403(0.15,0.698)","-0.13(-0.268,-0.013)","-0.233(-0.379,-0.079)","-0.29(-0.715,0.128)","-0.161(-0.304,-0.007)","Olanzapine","-0.058(-0.191,0.087)","-0.042(-0.271,0.198)","-0.48(-0.573,-0.381)","-0.146(-0.273,-0.005)","0.003(-0.109,0.132)","-0.165(-0.346,0.049)","-0.179(-0.329,-0.013)","0.076(-0.188,0.398)","-0.08(-0.4,0.247)"
"13","0.238(-0.02,0.515)","-0.088(-0.255,0.074)","-0.076(-0.254,0.107)","-0.187(-0.384,0.009)","-0.114(-0.304,0.079)","-0.089(-0.316,0.165)","0.462(0.188,0.758)","-0.072(-0.247,0.081)","-0.175(-0.352,0)","-0.232(-0.672,0.181)","-0.103(-0.277,0.075)","0.058(-0.087,0.191)","Paliperidone","0.017(-0.235,0.273)","-0.421(-0.557,-0.286)","-0.088(-0.249,0.078)","0.061(-0.088,0.217)","-0.107(-0.313,0.12)","-0.121(-0.302,0.063)","0.134(-0.14,0.455)","-0.022(-0.354,0.306)"
"14","0.222(-0.095,0.54)","-0.105(-0.353,0.142)","-0.093(-0.348,0.165)","-0.203(-0.47,0.071)","-0.13(-0.397,0.137)","-0.105(-0.383,0.201)","0.445(0.117,0.783)","-0.089(-0.345,0.149)","-0.192(-0.445,0.062)","-0.248(-0.724,0.195)","-0.12(-0.375,0.138)","0.042(-0.198,0.271)","-0.017(-0.273,0.235)","Perphenazine","-0.438(-0.672,-0.203)","-0.104(-0.344,0.135)","0.045(-0.186,0.284)","-0.123(-0.4,0.162)","-0.137(-0.387,0.113)","0.118(-0.208,0.487)","-0.038(-0.415,0.329)"
"15","0.659(0.421,0.912)","0.333(0.211,0.451)","0.345(0.21,0.484)","0.234(0.087,0.381)","0.308(0.164,0.454)","0.333(0.119,0.569)","0.883(0.622,1.166)","0.349(0.224,0.464)","0.246(0.107,0.384)","0.19(-0.255,0.608)","0.318(0.19,0.45)","0.48(0.381,0.573)","0.421(0.286,0.557)","0.438(0.203,0.672)","Placebo","0.333(0.215,0.454)","0.482(0.387,0.585)","0.315(0.13,0.521)","0.301(0.151,0.456)","0.556(0.289,0.864)","0.399(0.075,0.723)"
"16","0.326(0.078,0.584)","0(-0.157,0.146)","0.011(-0.155,0.18)","-0.099(-0.276,0.076)","-0.026(-0.203,0.151)","-0.001(-0.198,0.226)","0.55(0.287,0.831)","0.016(-0.148,0.148)","-0.087(-0.252,0.072)","-0.144(-0.586,0.264)","-0.015(-0.174,0.143)","0.146(0.005,0.273)","0.088(-0.078,0.249)","0.104(-0.135,0.344)","-0.333(-0.454,-0.215)","Quetiapine","0.149(0.022,0.279)","-0.019(-0.217,0.194)","-0.033(-0.201,0.134)","0.222(-0.046,0.533)","0.066(-0.262,0.383)"
"17","0.177(-0.063,0.426)","-0.149(-0.29,-0.021)","-0.138(-0.29,0.015)","-0.248(-0.421,-0.079)","-0.175(-0.338,-0.014)","-0.15(-0.355,0.081)","0.401(0.141,0.672)","-0.133(-0.286,-0.015)","-0.236(-0.389,-0.092)","-0.293(-0.74,0.113)","-0.164(-0.318,-0.013)","-0.003(-0.132,0.109)","-0.061(-0.217,0.088)","-0.045(-0.284,0.186)","-0.482(-0.585,-0.387)","-0.149(-0.279,-0.022)","Risperidone","-0.168(-0.357,0.033)","-0.182(-0.338,-0.032)","0.073(-0.193,0.379)","-0.083(-0.414,0.232)"
"18","0.345(0.052,0.624)","0.018(-0.211,0.219)","0.03(-0.193,0.246)","-0.08(-0.325,0.148)","-0.007(-0.246,0.217)","0.018(-0.24,0.29)","0.568(0.265,0.867)","0.035(-0.208,0.222)","-0.068(-0.296,0.134)","-0.125(-0.607,0.289)","0.003(-0.218,0.214)","0.165(-0.049,0.346)","0.107(-0.12,0.313)","0.123(-0.162,0.4)","-0.315(-0.521,-0.13)","0.019(-0.194,0.217)","0.168(-0.033,0.357)","Sertindole","-0.014(-0.243,0.2)","0.241(-0.055,0.558)","0.085(-0.283,0.43)"
"19","0.359(0.095,0.633)","0.032(-0.145,0.196)","0.044(-0.143,0.231)","-0.066(-0.271,0.138)","0.007(-0.19,0.206)","0.032(-0.194,0.286)","0.582(0.303,0.881)","0.048(-0.143,0.208)","-0.055(-0.238,0.123)","-0.111(-0.558,0.31)","0.017(-0.167,0.203)","0.179(0.013,0.329)","0.121(-0.063,0.302)","0.137(-0.113,0.387)","-0.301(-0.456,-0.151)","0.033(-0.134,0.201)","0.182(0.032,0.338)","0.014(-0.2,0.243)","Ziprasidone","0.255(-0.024,0.578)","0.099(-0.24,0.435)"
"20","0.104(-0.262,0.442)","-0.222(-0.546,0.049)","-0.211(-0.524,0.072)","-0.321(-0.661,-0.021)","-0.248(-0.58,0.045)","-0.223(-0.535,0.084)","0.328(-0.027,0.664)","-0.206(-0.541,0.058)","-0.309(-0.629,-0.036)","-0.366(-0.906,0.069)","-0.237(-0.553,0.045)","-0.076(-0.398,0.188)","-0.134(-0.455,0.14)","-0.118(-0.487,0.208)","-0.556(-0.864,-0.289)","-0.222(-0.533,0.046)","-0.073(-0.379,0.193)","-0.241(-0.558,0.055)","-0.255(-0.578,0.024)","Zotepine","-0.156(-0.581,0.229)"
"21","0.26(-0.106,0.65)","-0.066(-0.394,0.261)","-0.055(-0.388,0.288)","-0.165(-0.513,0.194)","-0.092(-0.435,0.255)","-0.067(-0.398,0.312)","0.484(0.114,0.882)","-0.05(-0.394,0.263)","-0.153(-0.486,0.176)","-0.21(-0.732,0.291)","-0.081(-0.413,0.262)","0.08(-0.247,0.4)","0.022(-0.306,0.354)","0.038(-0.329,0.415)","-0.399(-0.723,-0.075)","-0.066(-0.383,0.262)","0.083(-0.232,0.414)","-0.085(-0.43,0.283)","-0.099(-0.435,0.24)","0.156(-0.229,0.581)","Zuclopenthixol"
