"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"11","0.384(-0.058,0.768)","0.105(-0.088,0.294)","0.056(-0.152,0.297)","-0.051(-0.277,0.204)","0.032(-0.225,0.302)","0.204(-0.052,0.476)","0.541(0.291,0.796)","0.087(-0.109,0.258)","-0.079(-0.319,0.221)","0.227(-0.139,0.565)","Lurasidone","0.203(0.002,0.376)","0.166(-0.044,0.41)","0.225(-0.002,0.494)","-0.308(-0.465,-0.136)","0.052(-0.115,0.251)","0.162(-0.01,0.337)","-0.049(-0.361,0.27)","0.04(-0.176,0.296)","1.338(0.652,2.034)","0.272(-0.077,0.696)"
"12","0.181(-0.207,0.51)","-0.097(-0.223,0.017)","-0.147(-0.264,-0.036)","-0.254(-0.422,-0.105)","-0.17(-0.422,0.079)","0.002(-0.254,0.179)","0.338(0.123,0.592)","-0.116(-0.188,-0.034)","-0.281(-0.472,-0.099)","0.024(-0.262,0.326)","-0.203(-0.376,-0.002)","Olanzapine","-0.037(-0.165,0.099)","0.023(-0.198,0.213)","-0.511(-0.571,-0.437)","-0.151(-0.255,-0.039)","-0.041(-0.121,0.037)","-0.252(-0.572,0.012)","-0.162(-0.299,-0.028)","1.135(0.369,1.775)","0.07(-0.304,0.457)"
"13","0.218(-0.174,0.594)","-0.06(-0.252,0.118)","-0.11(-0.273,0.077)","-0.217(-0.44,-0.02)","-0.133(-0.403,0.136)","0.039(-0.23,0.275)","0.375(0.122,0.635)","-0.079(-0.223,0.061)","-0.244(-0.529,-0.018)","0.061(-0.24,0.425)","-0.166(-0.41,0.044)","0.037(-0.099,0.165)","Paliperidone","0.06(-0.164,0.311)","-0.474(-0.623,-0.349)","-0.114(-0.287,0.056)","-0.003(-0.183,0.158)","-0.215(-0.518,0.082)","-0.125(-0.323,0.073)","1.172(0.407,1.835)","0.107(-0.298,0.519)"
"14","0.158(-0.26,0.564)","-0.12(-0.321,0.128)","-0.17(-0.408,0.017)","-0.276(-0.545,-0.045)","-0.193(-0.485,0.135)","-0.021(-0.296,0.269)","0.315(0.026,0.591)","-0.138(-0.376,0.09)","-0.304(-0.613,-0.069)","0.002(-0.309,0.388)","-0.225(-0.494,0.002)","-0.023(-0.213,0.198)","-0.06(-0.311,0.164)","Perphenazine","-0.534(-0.754,-0.315)","-0.174(-0.382,0.058)","-0.063(-0.27,0.146)","-0.275(-0.64,0.038)","-0.185(-0.419,0.001)","1.112(0.355,1.755)","0.047(-0.364,0.499)"
"15","0.692(0.297,1.039)","0.413(0.285,0.52)","0.364(0.234,0.479)","0.257(0.111,0.415)","0.34(0.073,0.587)","0.512(0.305,0.682)","0.849(0.646,1.113)","0.395(0.322,0.461)","0.229(0.059,0.394)","0.535(0.256,0.836)","0.308(0.136,0.465)","0.511(0.437,0.571)","0.474(0.349,0.623)","0.534(0.315,0.754)","Placebo","0.36(0.261,0.446)","0.47(0.389,0.546)","0.259(-0.084,0.537)","0.348(0.231,0.521)","1.646(0.904,2.296)","0.58(0.207,0.951)"
"16","0.332(-0.06,0.714)","0.054(-0.118,0.212)","0.004(-0.158,0.14)","-0.103(-0.265,0.085)","-0.019(-0.266,0.236)","0.153(-0.071,0.351)","0.489(0.265,0.732)","0.035(-0.076,0.163)","-0.13(-0.339,0.038)","0.175(-0.091,0.468)","-0.052(-0.251,0.115)","0.151(0.039,0.255)","0.114(-0.056,0.287)","0.174(-0.058,0.382)","-0.36(-0.446,-0.261)","Quetiapine","0.11(0.019,0.207)","-0.101(-0.417,0.194)","-0.011(-0.167,0.132)","1.286(0.572,1.904)","0.221(-0.114,0.587)"
"17","0.221(-0.168,0.591)","-0.057(-0.214,0.08)","-0.106(-0.231,0.022)","-0.213(-0.371,-0.051)","-0.13(-0.396,0.143)","0.042(-0.177,0.262)","0.378(0.175,0.637)","-0.075(-0.146,-0.001)","-0.241(-0.436,-0.063)","0.065(-0.209,0.343)","-0.162(-0.337,0.01)","0.041(-0.037,0.121)","0.003(-0.158,0.183)","0.063(-0.146,0.27)","-0.47(-0.546,-0.389)","-0.11(-0.207,-0.019)","Risperidone","-0.211(-0.523,0.072)","-0.122(-0.274,0.005)","1.176(0.429,1.833)","0.11(-0.259,0.485)"
"18","0.433(-0.108,0.851)","0.155(-0.141,0.405)","0.105(-0.212,0.435)","-0.002(-0.303,0.362)","0.082(-0.274,0.462)","0.253(-0.138,0.566)","0.59(0.246,0.971)","0.136(-0.152,0.444)","-0.029(-0.305,0.348)","0.276(-0.235,0.661)","0.049(-0.27,0.361)","0.252(-0.012,0.572)","0.215(-0.082,0.518)","0.275(-0.038,0.64)","-0.259(-0.537,0.084)","0.101(-0.194,0.417)","0.211(-0.072,0.523)","Sertindole","0.089(-0.222,0.407)","1.387(0.622,1.869)","0.322(-0.169,0.773)"
"19","0.343(-0.114,0.734)","0.065(-0.117,0.208)","0.015(-0.169,0.216)","-0.091(-0.308,0.084)","-0.008(-0.27,0.249)","0.164(-0.06,0.354)","0.5(0.268,0.752)","0.047(-0.101,0.198)","-0.119(-0.284,0.062)","0.187(-0.144,0.522)","-0.04(-0.296,0.176)","0.162(0.028,0.299)","0.125(-0.073,0.323)","0.185(-0.001,0.419)","-0.348(-0.521,-0.231)","0.011(-0.132,0.167)","0.122(-0.005,0.274)","-0.089(-0.407,0.222)","Ziprasidone","1.297(0.588,1.935)","0.232(-0.116,0.616)"
"20","-0.954(-1.928,-0.099)","-1.232(-1.845,-0.507)","-1.282(-1.862,-0.541)","-1.389(-1.996,-0.683)","-1.305(-1.861,-0.599)","-1.133(-1.818,-0.4)","-0.797(-1.445,-0.047)","-1.251(-1.849,-0.518)","-1.416(-2.047,-0.694)","-1.111(-2.072,-0.245)","-1.338(-2.034,-0.652)","-1.135(-1.775,-0.369)","-1.172(-1.835,-0.407)","-1.112(-1.755,-0.355)","-1.646(-2.296,-0.904)","-1.286(-1.904,-0.572)","-1.176(-1.833,-0.429)","-1.387(-1.869,-0.622)","-1.297(-1.935,-0.588)","Zotepine","-1.065(-1.723,-0.233)"
"21","0.111(-0.397,0.551)","-0.167(-0.523,0.197)","-0.217(-0.596,0.192)","-0.323(-0.693,0.036)","-0.24(-0.77,0.206)","-0.068(-0.468,0.352)","0.268(-0.106,0.759)","-0.185(-0.561,0.146)","-0.351(-0.764,0.035)","-0.045(-0.503,0.468)","-0.272(-0.696,0.077)","-0.07(-0.457,0.304)","-0.107(-0.519,0.298)","-0.047(-0.499,0.364)","-0.58(-0.951,-0.207)","-0.221(-0.587,0.114)","-0.11(-0.485,0.259)","-0.322(-0.773,0.169)","-0.232(-0.616,0.116)","1.065(0.233,1.723)","Zuclopenthixol"
