"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"11","0.345(0.157,0.517)","0.041(-0.092,0.163)","0.016(-0.153,0.198)","-0.118(-0.31,0.057)","-0.001(-0.152,0.171)","0.085(-0.124,0.31)","0.541(0.331,0.817)","0.083(-0.054,0.229)","-0.045(-0.174,0.092)","0.062(-0.134,0.274)","Lurasidone","0.189(0.068,0.307)","0.126(-0.039,0.29)","0.167(-0.091,0.357)","-0.365(-0.478,-0.257)","0.042(-0.088,0.19)","0.185(0.048,0.296)","0.016(-0.169,0.201)","0.037(-0.129,0.198)","0.321(0.04,0.563)","0.148(-0.057,0.362)"
"12","0.157(0.012,0.306)","-0.148(-0.236,-0.053)","-0.172(-0.29,0.004)","-0.307(-0.474,-0.178)","-0.189(-0.316,-0.052)","-0.104(-0.277,0.059)","0.352(0.153,0.543)","-0.106(-0.182,-0.043)","-0.233(-0.339,-0.131)","-0.127(-0.319,0.047)","-0.189(-0.307,-0.068)","Olanzapine","-0.063(-0.164,0.054)","-0.022(-0.246,0.135)","-0.553(-0.609,-0.504)","-0.146(-0.221,-0.059)","-0.004(-0.071,0.059)","-0.173(-0.32,-0.037)","-0.152(-0.261,-0.047)","0.132(-0.09,0.319)","-0.041(-0.239,0.125)"
"13","0.219(0.004,0.387)","-0.085(-0.223,0.095)","-0.11(-0.289,0.059)","-0.244(-0.443,-0.053)","-0.127(-0.287,0.067)","-0.042(-0.212,0.116)","0.415(0.211,0.654)","-0.044(-0.157,0.069)","-0.171(-0.321,-0.025)","-0.065(-0.288,0.167)","-0.126(-0.29,0.039)","0.063(-0.054,0.164)","Paliperidone","0.041(-0.151,0.22)","-0.491(-0.612,-0.377)","-0.084(-0.213,0.064)","0.058(-0.072,0.19)","-0.111(-0.302,0.064)","-0.09(-0.232,0.042)","0.194(-0.071,0.378)","0.022(-0.193,0.21)"
"14","0.178(-0.046,0.392)","-0.126(-0.304,0.075)","-0.151(-0.348,0.053)","-0.285(-0.552,-0.019)","-0.168(-0.35,0.007)","-0.083(-0.294,0.171)","0.374(0.098,0.681)","-0.085(-0.234,0.116)","-0.212(-0.417,0.024)","-0.106(-0.357,0.152)","-0.167(-0.357,0.091)","0.022(-0.135,0.246)","-0.041(-0.22,0.151)","Perphenazine","-0.532(-0.676,-0.335)","-0.125(-0.304,0.072)","0.017(-0.153,0.206)","-0.152(-0.376,0.1)","-0.131(-0.293,0.104)","0.153(-0.08,0.456)","-0.019(-0.265,0.2)"
"15","0.71(0.562,0.872)","0.406(0.297,0.489)","0.381(0.266,0.533)","0.247(0.076,0.394)","0.364(0.239,0.477)","0.449(0.291,0.601)","0.905(0.704,1.102)","0.447(0.382,0.504)","0.32(0.214,0.418)","0.426(0.241,0.602)","0.365(0.257,0.478)","0.553(0.504,0.609)","0.491(0.377,0.612)","0.532(0.335,0.676)","Placebo","0.407(0.331,0.492)","0.549(0.498,0.62)","0.38(0.223,0.503)","0.401(0.315,0.503)","0.685(0.469,0.845)","0.513(0.311,0.689)"
"16","0.303(0.109,0.489)","-0.001(-0.131,0.117)","-0.026(-0.175,0.155)","-0.16(-0.323,-0.014)","-0.043(-0.202,0.117)","0.042(-0.141,0.174)","0.499(0.308,0.713)","0.04(-0.082,0.135)","-0.087(-0.223,0.049)","0.019(-0.178,0.23)","-0.042(-0.19,0.088)","0.146(0.059,0.221)","0.084(-0.064,0.213)","0.125(-0.072,0.304)","-0.407(-0.492,-0.331)","Quetiapine","0.142(0.044,0.223)","-0.027(-0.193,0.123)","-0.006(-0.147,0.123)","0.278(0.021,0.482)","0.106(-0.139,0.296)"
"17","0.161(-0.004,0.321)","-0.143(-0.257,-0.039)","-0.168(-0.308,-0.001)","-0.302(-0.448,-0.156)","-0.185(-0.319,-0.061)","-0.1(-0.28,0.064)","0.356(0.165,0.555)","-0.102(-0.189,-0.034)","-0.229(-0.336,-0.135)","-0.123(-0.344,0.059)","-0.185(-0.296,-0.048)","0.004(-0.059,0.071)","-0.058(-0.19,0.072)","-0.017(-0.206,0.153)","-0.549(-0.62,-0.498)","-0.142(-0.223,-0.044)","Risperidone","-0.169(-0.318,-0.053)","-0.148(-0.254,-0.047)","0.136(-0.065,0.343)","-0.036(-0.25,0.137)"
"18","0.33(0.129,0.519)","0.026(-0.111,0.161)","0.001(-0.198,0.222)","-0.133(-0.336,0.059)","-0.016(-0.19,0.168)","0.069(-0.128,0.293)","0.525(0.301,0.78)","0.067(-0.057,0.197)","-0.06(-0.222,0.11)","0.046(-0.184,0.273)","-0.016(-0.201,0.169)","0.173(0.037,0.32)","0.111(-0.064,0.302)","0.152(-0.1,0.376)","-0.38(-0.503,-0.223)","0.027(-0.123,0.193)","0.169(0.053,0.318)","Sertindole","0.021(-0.13,0.205)","0.305(0.04,0.519)","0.133(-0.128,0.314)"
"19","0.309(0.122,0.496)","0.005(-0.123,0.144)","-0.02(-0.142,0.118)","-0.154(-0.316,0.023)","-0.037(-0.191,0.114)","0.048(-0.121,0.215)","0.504(0.293,0.762)","0.046(-0.054,0.145)","-0.081(-0.21,0.05)","0.025(-0.225,0.236)","-0.037(-0.198,0.129)","0.152(0.047,0.261)","0.09(-0.042,0.232)","0.131(-0.104,0.293)","-0.401(-0.503,-0.315)","0.006(-0.123,0.147)","0.148(0.047,0.254)","-0.021(-0.205,0.13)","Ziprasidone","0.284(0.097,0.495)","0.111(-0.112,0.304)"
"20","0.025(-0.239,0.269)","-0.279(-0.483,-0.028)","-0.304(-0.499,-0.027)","-0.438(-0.726,-0.166)","-0.321(-0.528,-0.097)","-0.236(-0.451,-0.028)","0.22(-0.004,0.463)","-0.238(-0.423,-0.04)","-0.365(-0.556,-0.142)","-0.259(-0.543,-0.018)","-0.321(-0.563,-0.04)","-0.132(-0.319,0.09)","-0.194(-0.378,0.071)","-0.153(-0.456,0.08)","-0.685(-0.845,-0.469)","-0.278(-0.482,-0.021)","-0.136(-0.343,0.065)","-0.305(-0.519,-0.04)","-0.284(-0.495,-0.097)","Zotepine","-0.172(-0.458,0.142)"
"21","0.197(-0.085,0.457)","-0.107(-0.314,0.062)","-0.132(-0.331,0.072)","-0.266(-0.519,-0.04)","-0.149(-0.399,0.064)","-0.064(-0.277,0.179)","0.393(0.113,0.683)","-0.066(-0.265,0.143)","-0.193(-0.421,0.074)","-0.087(-0.355,0.168)","-0.148(-0.362,0.057)","0.041(-0.125,0.239)","-0.022(-0.21,0.193)","0.019(-0.2,0.265)","-0.513(-0.689,-0.311)","-0.106(-0.296,0.139)","0.036(-0.137,0.25)","-0.133(-0.314,0.128)","-0.111(-0.304,0.112)","0.172(-0.142,0.458)","Zuclopenthixol"
