"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"11","0.344(0.179,0.502)","0.043(-0.101,0.176)","0.03(-0.145,0.16)","-0.091(-0.239,0.109)","-0.019(-0.233,0.151)","-0.012(-0.174,0.159)","0.517(0.315,0.722)","0.084(-0.047,0.204)","-0.049(-0.207,0.098)","-0.031(-0.28,0.228)","Lurasidone","0.185(0.061,0.314)","0.12(-0.055,0.269)","-0.031(-0.547,0.436)","-0.358(-0.476,-0.26)","0.027(-0.101,0.173)","0.212(0.076,0.331)","-0.01(-0.222,0.204)","0.048(-0.1,0.197)","0.242(0.044,0.472)","0.089(-0.309,0.449)"
"12","0.158(0.011,0.305)","-0.142(-0.243,-0.044)","-0.155(-0.262,-0.039)","-0.276(-0.418,-0.123)","-0.204(-0.354,-0.039)","-0.197(-0.359,-0.022)","0.332(0.099,0.524)","-0.101(-0.179,-0.028)","-0.234(-0.341,-0.103)","-0.217(-0.477,0.085)","-0.185(-0.314,-0.061)","Olanzapine","-0.065(-0.168,0.026)","-0.216(-0.689,0.239)","-0.543(-0.602,-0.476)","-0.159(-0.26,-0.051)","0.027(-0.058,0.112)","-0.195(-0.352,-0.018)","-0.137(-0.248,0.002)","0.057(-0.136,0.267)","-0.096(-0.483,0.23)"
"13","0.224(0.049,0.388)","-0.077(-0.213,0.063)","-0.09(-0.237,0.093)","-0.211(-0.386,-0.024)","-0.139(-0.328,0.024)","-0.132(-0.326,0.066)","0.397(0.126,0.616)","-0.036(-0.157,0.099)","-0.169(-0.323,-0.021)","-0.151(-0.445,0.154)","-0.12(-0.269,0.055)","0.065(-0.026,0.168)","Paliperidone","-0.151(-0.629,0.297)","-0.478(-0.572,-0.373)","-0.093(-0.252,0.065)","0.092(-0.027,0.218)","-0.13(-0.316,0.107)","-0.072(-0.209,0.084)","0.122(-0.116,0.334)","-0.031(-0.437,0.321)"
"14","0.374(-0.132,0.873)","0.074(-0.418,0.553)","0.061(-0.4,0.57)","-0.06(-0.581,0.401)","0.012(-0.493,0.493)","0.019(-0.481,0.444)","0.548(0,1.028)","0.115(-0.393,0.583)","-0.018(-0.493,0.459)","-0.001(-0.54,0.557)","0.031(-0.436,0.547)","0.216(-0.239,0.689)","0.151(-0.297,0.629)","Perphenazine","-0.327(-0.786,0.11)","0.057(-0.403,0.537)","0.243(-0.208,0.695)","0.021(-0.476,0.564)","0.079(-0.467,0.546)","0.273(-0.225,0.773)","0.12(-0.42,0.701)"
"15","0.701(0.556,0.839)","0.401(0.287,0.488)","0.388(0.271,0.514)","0.267(0.135,0.393)","0.339(0.198,0.476)","0.346(0.214,0.54)","0.875(0.661,1.054)","0.442(0.375,0.498)","0.309(0.205,0.408)","0.326(0.02,0.602)","0.358(0.26,0.476)","0.543(0.476,0.602)","0.478(0.373,0.572)","0.327(-0.11,0.786)","Placebo","0.384(0.299,0.487)","0.57(0.516,0.626)","0.348(0.196,0.553)","0.406(0.283,0.541)","0.6(0.405,0.804)","0.447(0.078,0.768)"
"16","0.317(0.124,0.489)","0.016(-0.108,0.117)","0.003(-0.156,0.158)","-0.118(-0.301,0.056)","-0.045(-0.221,0.138)","-0.038(-0.191,0.096)","0.49(0.273,0.688)","0.058(-0.061,0.143)","-0.076(-0.199,0.078)","-0.058(-0.351,0.221)","-0.027(-0.173,0.101)","0.159(0.051,0.26)","0.093(-0.065,0.252)","-0.057(-0.537,0.403)","-0.384(-0.487,-0.299)","Quetiapine","0.185(0.092,0.277)","-0.036(-0.188,0.154)","0.022(-0.135,0.175)","0.215(0.006,0.476)","0.062(-0.328,0.366)"
"17","0.132(-0.029,0.272)","-0.169(-0.278,-0.077)","-0.182(-0.309,-0.053)","-0.303(-0.457,-0.149)","-0.23(-0.383,-0.081)","-0.224(-0.375,-0.05)","0.305(0.107,0.493)","-0.128(-0.188,-0.051)","-0.261(-0.355,-0.152)","-0.243(-0.549,0.037)","-0.212(-0.331,-0.076)","-0.027(-0.112,0.058)","-0.092(-0.218,0.027)","-0.243(-0.695,0.208)","-0.57(-0.626,-0.516)","-0.185(-0.277,-0.092)","Risperidone","-0.222(-0.381,-0.023)","-0.164(-0.294,-0.021)","0.03(-0.168,0.258)","-0.123(-0.477,0.176)"
"18","0.354(0.122,0.557)","0.053(-0.138,0.209)","0.04(-0.165,0.226)","-0.081(-0.325,0.1)","-0.009(-0.252,0.178)","-0.002(-0.242,0.201)","0.527(0.254,0.744)","0.094(-0.089,0.23)","-0.039(-0.254,0.15)","-0.022(-0.315,0.267)","0.01(-0.204,0.222)","0.195(0.018,0.352)","0.13(-0.107,0.316)","-0.021(-0.564,0.476)","-0.348(-0.553,-0.196)","0.036(-0.154,0.188)","0.222(0.023,0.381)","Sertindole","0.058(-0.147,0.235)","0.252(-0.053,0.531)","0.099(-0.3,0.396)"
"19","0.295(0.12,0.466)","-0.006(-0.149,0.119)","-0.019(-0.18,0.141)","-0.139(-0.312,0.044)","-0.067(-0.238,0.155)","-0.06(-0.231,0.152)","0.469(0.217,0.691)","0.036(-0.098,0.155)","-0.097(-0.231,0.035)","-0.08(-0.359,0.212)","-0.048(-0.197,0.1)","0.137(-0.002,0.248)","0.072(-0.084,0.209)","-0.079(-0.546,0.467)","-0.406(-0.541,-0.283)","-0.022(-0.175,0.135)","0.164(0.021,0.294)","-0.058(-0.235,0.147)","Ziprasidone","0.194(-0.076,0.418)","0.04(-0.36,0.321)"
"20","0.102(-0.141,0.363)","-0.199(-0.419,0.014)","-0.212(-0.435,-0.028)","-0.333(-0.6,-0.1)","-0.261(-0.51,0.014)","-0.254(-0.477,-0.037)","0.275(-0.036,0.479)","-0.158(-0.363,0.021)","-0.291(-0.536,-0.073)","-0.274(-0.604,0.139)","-0.242(-0.472,-0.044)","-0.057(-0.267,0.136)","-0.122(-0.334,0.116)","-0.273(-0.773,0.225)","-0.6(-0.804,-0.405)","-0.215(-0.476,-0.006)","-0.03(-0.258,0.168)","-0.252(-0.531,0.053)","-0.194(-0.418,0.076)","Zotepine","-0.153(-0.558,0.223)"
"21","0.255(-0.073,0.604)","-0.046(-0.365,0.297)","-0.059(-0.358,0.288)","-0.18(-0.493,0.242)","-0.107(-0.399,0.25)","-0.101(-0.479,0.346)","0.428(0.038,0.861)","-0.004(-0.334,0.356)","-0.138(-0.493,0.225)","-0.12(-0.584,0.281)","-0.089(-0.449,0.309)","0.096(-0.23,0.483)","0.031(-0.321,0.437)","-0.12(-0.701,0.42)","-0.447(-0.768,-0.078)","-0.062(-0.366,0.328)","0.123(-0.176,0.477)","-0.099(-0.396,0.3)","-0.04(-0.321,0.36)","0.153(-0.223,0.558)","Zuclopenthixol"
