"Study_No"	"Study_ID"	"Arm_ID"	"Year"	"Drug"	"No_randomised"	"OverallEfficM"	"OverallEfficSD"	"OverallEfficN"	"PosM"	"PosSD"	"PosN"	"NegM"	"NegSD"	"NegN"	"DeprM"	"DeprSD"	"DeprN"	"QolM"	"QolSD"	"QolN"	"SocialFunctM"	"SocialFunctSD"	"SocialFunctN"	"WeightContM"	"WeightContSD"	"WeightContN"	"DefCritWeightGainDich"	"WeightDichN"	"ProlactinM"	"ProlactinSD"	"ProlactinN"	"ProlactinHyperDichN"	"QTcM"	"QTcSD"	"QTcN"	"QTcProlongN"	"NResponseMain"	"NReponseMainDef"	"NResponse50"	"NResponse20"	"DropoutInefficacy"	"DropoutTotal"	"SedationN"	"AntiParkinMedN"	"AkathisiaN"	"LibidoDecrAllN"	"LibidoIncrAllN"	"ErectileDysfunctionN"	"EjaculationDysfunctionN"	"AmenorrheaN"	"GalactorrhoeaN"	"TachykardiaN"	"BradykardiaN"	"ArrhythmiaN"	"ConstipationN"	"BlurredVisionN"	"UrinaryRetentionN"	"DryMouthN"	"HypotensionN"	"SeizuresN"	"LeukopeniaN"	"AgranulozytosisN"	"MaligNeuroSyndrN"	"PulmonaryEmbolismN"	"StrokeN"	"DeepVeinThrombosisN"	"DeathAllN"	"Randomisation"	"Allocation"	"BlindPersonalPatients"	"BlindOutcomeAssesment"	"MissingOutcomes"	"SelectiveReporting"	"OtherBias"	"MeanDose"	"DoseOlaEquivalent"	"Sponsor"	"Duration"	"DoseFixFlex"	"MeanAge"	"DurationIllYears"	"Diag_crit"	"NumberSites"	"ComplITT"	"Placebo"	"BaselineSeverity"	"No_male"	"Blinding_type"	"CalculatedSD"	"PlaceboChange"	"FailedStudy"	"CholinergicN"	"SexualSideEffN"	"RoBCategory"	"HighRoB"
"11"	28	"Barbato 2007d"	63	2007	"Haloperidol"	52	-18.9	20.9	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	10	20	0	6	1	34.5	NA	"DSM-IV"	NA	1	1	94.8	30	2	1	NA	1	NA	NA	2	0
"12"	28	"Barbato 2007d"	3154	2007	"Placebo"	51	-14.7	17.1	51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	NA	0	6	1	34.5	NA	"DSM-IV"	NA	1	1	94.8	NA	2	1	-14.7	1	NA	NA	2	0
"13"	33	"Beasley 1997"	74	1997	"Haloperidol"	81	-20	25.9	79	-6.5	8.6	79	-4.8	6.3	79	5.35	4.26	79	NA	NA	NA	NA	NA	NA	-0.37	2.67	77	NA	NA	20.3	26.9	73	27	NA	NA	NA	NA	38	"40% BPRS or BPRS<18"	NA	NA	16	38	8	39	12	0	NA	NA	NA	0	NA	0	NA	0	2	NA	0	0	0	0	0	NA	1	NA	NA	NA	NA	1	1	1	1	1	1	1	17.6	35.2	0	6	2	36	12.6	"DSM-III-R"	50	1	0	105.3	48	2	1	NA	0	2	0	1	0
"14"	33	"Beasley 1997"	75	1997	"Olanzapine"	175	-24.72	26.64	168	-7.21	8.03	168	-6.01	7.49	168	5.1	4.32	168	NA	NA	NA	NA	NA	NA	2.14	3.28	167	NA	NA	3.2	18.5	154	25	NA	NA	NA	NA	92	"40% BPRS or BPRS<18"	NA	NA	22	67	12	15	4	1	NA	NA	NA	0	NA	1	NA	0	1	NA	1	5	2	0	1	NA	0	NA	NA	NA	NA	1	1	1	1	1	1	1	13.88	13.88	1	6	2	36.51	12.1	"DSM-III-R"	50	1	0	103.9	112	2	1	NA	0	5	1	1	0
"15"	346	"Peuskens 1997"	733	1997	"Quetiapine"	101	-19.5	18.5	98	NA	NA	NA	-7.1	8	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.8	3.61969389008628	101	"at least 7% reduction in weight"	27	-25.1	47.7	91	NA	NA	NA	NA	NA	66	"at least 50% BPRS reduction"	66	NA	17	31	14	10	4	NA	NA	NA	NA	NA	NA	6	NA	NA	2	NA	NA	8	5	NA	1	1	NA	NA	NA	NA	NA	1	1	-1	-1	1	1	1	407	10.989	1	6	2	32	NA	"DSM-III-R"	28	1	0	114	63	2	1	NA	0	8	NA	3	1
"16"	346	"Peuskens 1997"	732	1997	"Chlorpromazine"	100	-18.6	17.3	98	NA	NA	NA	-6.1	7.2	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3	3.61969389008628	100	"at least 7% reduction in weight"	18	-15.1	47.4	90	NA	NA	NA	NA	NA	52	"at least 50% BPRS reduction"	52	NA	15	36	16	15	6	NA	NA	NA	NA	NA	NA	6	NA	NA	8	NA	NA	6	18	NA	0	0	NA	NA	NA	NA	NA	1	1	-1	-1	1	1	1	384	12.672	0	6	2	34	NA	"DSM-III-R"	28	1	0	111	66	2	1	NA	0	8	NA	3	1
"17"	347	"Peuskens 1999"	735	1999	"Risperidone"	113	-15.2	13.9	113	-8.6	7.4	113	-5.3	6.6	113	-2.7	3.9	113	NA	NA	NA	-52.3	15.8431895167694	113	1.4	3.37	113	"reported as AE"	NA	NA	NA	NA	NA	NA	NA	NA	0	65	"at least 40% BPRS total reduction"	NA	85	10	32	NA	26	NA	NA	NA	3	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	8	26.6666666666667	0	8	1	37	10.2	"DSM-IV"	44	1	0	97	66	2	1	NA	0	1	3	1	0
"18"	347	"Peuskens 1999"	734	1999	"Amisulpride"	115	-17.7	14.9	115	-9.6	8.5	115	-6.9	7.5	115	-3.2	4	115	NA	NA	NA	-54.3	15.8431895167694	115	0.4	3.37	115	"reported as AE"	NA	NA	NA	NA	NA	NA	NA	NA	0	77	"at least 40% BPRS total reduction"	NA	90	8	37	NA	35	NA	NA	NA	0	NA	NA	NA	NA	NA	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	800	23.2018561484919	1	8	1	36	7.9	"DSM-IV"	44	1	0	99	71	2	1	NA	0	7	0	1	0
"19"	643	"Delcker 1990"	2412	1990	"Haloperidol"	20	-21.1	8.77	17	NA	NA	NA	8.5647059	1.6	17	5.752523885	2.810892353	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	"50% BPRS"	NA	NA	0	3	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	1	22.5	45	0	6	2	40.1	14.3	"ICD-9"	1	NA	0	95	16	2	1	NA	0	NA	NA	2	0
"20"	643	"Delcker 1990"	2411	1990	"Amisulpride"	21	-25.6	7.8	20	NA	NA	NA	8.1882353	2.447058824	20	4.313619309	0.522183112	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	"50% BPRS"	NA	NA	0	1	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	1	600	17.4013921113689	NA	6	2	43.3	17.3	"ICD-9"	1	NA	0	95	17	2	1	NA	0	NA	NA	2	0
"21"	751	"Klieser 1991"	2654	1991	"Zotepine"	14	-10.7	16.46	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	1	225	15.0703281982585	NA	4	1	NA	NA	"ICD-9"	NA	1	0	NA	NA	2	1	NA	0	NA	NA	2	0
"22"	751	"Klieser 1991"	2653	1991	"Haloperidol"	12	-12.7	8.66	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	1	12	24	0	4	1	NA	NA	"ICD-9"	NA	1	0	NA	NA	2	1	NA	0	NA	NA	2	0
"23"	752	"Klieser 1994"	2655	1994	"Clozapine"	17	36	13	17	NA	NA	NA	6	4.7	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	-1	-1	1	350	17.5	0	4	2	31.1	4.9	"ICD-9"	1	2	0	98	8	2	1	NA	0	NA	NA	3	1
"24"	752	"Klieser 1994"	2656	1994	"Haloperidol"	17	37	17	17	NA	NA	NA	5.7	2	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	-1	-1	1	16	32	0	4	2	33.7	5.1	"ICD-9"	1	2	0	103	7	2	1	NA	0	NA	NA	3	1
"25"	843	"Potkin 2003"	2859	2003	"Aripiprazole"	202	-14.2	20.52	194	-4.41	6.42	194	-3.4	6.7	194	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5	201	">= 7% increase from
baseline body weight"	22	-6.5	24.3	181	7	-0.67	22.4	194	0	74	"Patients with a 30% or more decrease from the baseline PANSS total score or a score of 1 (very much improved) or 2 (much improved) on the CGI-I scale"	NA	NA	17	74	23	NA	40	NA	NA	NA	NA	3	NA	7	NA	NA	18	8	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	-1	1	25	16.7785234899329	1	4	1	39.15	NA	"DSM-IV"	40	1	1	93.5	139	2	2	NA	0	18	3	2	0
"26"	843	"Potkin 2003"	2860	2003	"Placebo"	103	-5	21.14	103	-1.8	6.66	103	-0.8	6.7	103	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.3	5	103	">= 7% increase from
baseline body weight"	2	0.1	24.8	95	10	-2.18	22.6	103	0	24	"30% PANSS reduction or CGI much improved"	NA	NA	17	51	11	NA	9	NA	NA	NA	NA	2	NA	1	NA	NA	3	1	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	-1	1	0	NA	0	4	1	38.8	NA	"DSM-IV"	40	1	1	95.7	73	2	2	-5	0	3	2	2	0
"27"	843	"Potkin 2003"	2861	2003	"Risperidone"	99	-15.7	22.31	95	-5.2	7.09	95	-3.1	4.8	95	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	6	99	">= 7% increase from
baseline body weight"	11	47.9	24.6	91	82	6.31	22.4	95	3	38	"Patients with a 30% or more decrease from the baseline PANSS total score or a score of 1 (very much improved) or 2 (much improved) on the CGI-I scale"	NA	NA	8	37	14	NA	14	NA	NA	NA	NA	0	NA	15	NA	NA	11	4	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	-1	1	6	20	0	4	1	38.6	NA	"DSM-IV"	40	1	1	94.9	71	2	2	NA	0	11	0	2	0
"28"	47	"Borison 1991a"	108	1991	"Chlorpromazine"	9	46.4	4.5	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	-1	1	800	26.4	0	4	2	36.9	NA	"DSM-III"	1	1	1	102	9	2	1	NA	0	NA	NA	2	0
"29"	47	"Borison 1991a"	109	1991	"Placebo"	10	50.5	6.4	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	-1	1	0	NA	0	4	2	35.3	NA	"DSM-III"	1	1	1	96	10	2	1	-5	0	NA	NA	2	0
"30"	51	"Boulay 2007"	118	2007	"Olanzapine"	14	62	12.84	14	NA	NA	NA	NA	NA	NA	1.36	1.28	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	-1	1	12	12	1	8	2	32.86	1.68	"DSM-IV"	1	1	0	76.14	10	2	1	NA	0	NA	NA	2	0
"31"	51	"Boulay 2007"	117	2007	"Haloperidol"	13	56.1	12.97	10	NA	NA	NA	NA	NA	NA	4.1	5.07	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	-1	1	9.32	18.64	0	8	2	34.73	2.64	"DSM-IV"	1	1	0	72.38	8	2	1	NA	0	NA	NA	2	0
"32"	59	"Bugarski-Kirola"	134	2014	"Placebo"	79	-11.9	16.89	79	-4.76	5.96	79	-2.32	4.36	79	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6	5	80	"7%weightgain"	3	NA	NA	NA	NA	NA	NA	NA	0	3	"50%PANNS reduction"	3	NA	9	22	6	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	1	0	NA	0	4	1	37.8	12.5	"DSM-IV"	36	1	1	95.2	58	2	1	-11.9	1	NA	NA	2	0
"33"	59	"Bugarski-Kirola"	133	2014	"Olanzapine"	63	-14.9	16.64	61	-5.46	5.86	61	-3.08	4.3	61	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6	5	62	"7%weightgain"	12	NA	NA	NA	NA	NA	NA	NA	0	5	"50%PANNS reduction"	5	NA	1	18	7	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	1	15	15	0	4	1	40.3	13.9	"DSM-IV"	36	1	1	92.8	46	2	1	NA	1	NA	NA	2	0
"34"	65	"Casey 2008"	146	2008	"Risperidone"	120	-15.7	14.9	116	-5.3	4.8	116	-3.6	4.6	116	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2	4	116	"?7% increase"	15	27.81	55.0456553262057	116	71	NA	NA	NA	NA	46	"at least 20% PANSS reduction"	NA	46	8	61	NA	NA	6	NA	NA	1	NA	NA	0	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	-1	1	6	20	0	6	1	41.1	NA	"DSM-IV-TR"	37	1	1	90.9	94	2	1	NA	0	13	1	2	0
"35"	65	"Casey 2008"	145	2008	"Placebo"	119	-5.3	16.3	114	-2	5.2	114	-1.3	4.6	114	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86	4	114	"?7% increase"	6	-0.96	55.0456553262057	114	NA	NA	NA	NA	NA	25	"at least 20% PANSS reduction"	NA	25	27	70	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	1	-1	1	0	NA	0	6	1	40.8	NA	"DSM-IV-TR"	37	1	1	92.1	88	2	1	-5.3	0	11	0	2	0
"36"	68	"Chan 2007"	152	2007	"Risperidone"	34	-21.1	17.1	34	-8.1	5.8	34	-4	5.7	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	2.5	34	"?7%"	4	55.4	42.3	27	26	-8.7	45.3	29	0	23	"score of CGI of 1/2 or at least 30% PANSS total decrease"	NA	NA	0	10	NA	14	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	6	20	0	4	1	35.1	NA	"DSM-IV"	5	1	0	84.6	22	2	1	NA	0	4	NA	1	0
"37"	68	"Chan 2007"	151	2007	"Aripiprazole"	49	-19.6	18.1	49	-5.8	6.9	49	-4.8	5.1	49	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9	2.2	49	"?7%"	2	-9	56.4	38	2	-18.8	32.2	40	0	25	"score of CGI of 1/2 or at least 30% PANSS total decrease"	NA	NA	2	11	NA	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	15	10.0671140939597	1	4	1	35.2	NA	"DSM-IV"	5	1	0	85.1	23	2	1	NA	0	5	NA	1	0
"38"	71	"Charalampous 1974, 00559"	157	1974	"Loxapine"	20	41.11	22.89	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	"% improved after two weeks"	NA	NA	NA	NA	9	11	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	0	-1	1	147.5	48.675	NA	4	2	25.9	2.5	"clinical diagnosis"	2	1	1	104	NA	2	2	NA	0	NA	0	2	0
"39"	71	"Charalampous 1974, 00559"	159	1974	"Thiothixene"	21	28.12	22.89	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	"% improved after two weeks"	NA	NA	NA	NA	8	15	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	0	-1	1	51.9	34.773	NA	4	2	25.9	2.5	"clinical diagnosis"	2	1	1	108	NA	2	2	NA	0	NA	1	2	0
"40"	71	"Charalampous 1974, 00559"	158	1974	"Placebo"	19	41.78	22.89	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	"% improved after two weeks"	NA	NA	NA	NA	5	2	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	0	-1	1	0	NA	0	4	2	25.9	2.5	"clinical diagnosis"	2	1	1	107	NA	2	2	-28	0	NA	0	2	0
