"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"11","0.272(0.068,0.476)","-0.022(-0.197,0.151)","0.009(-0.189,0.216)","-0.091(-0.308,0.126)","-0.027(-0.268,0.199)","-0.014(-0.214,0.177)","0.448(0.22,0.679)","0.021(-0.142,0.183)","-0.13(-0.316,0.048)","-0.013(-0.261,0.231)","Lurasidone","0.158(-0.001,0.325)","0.092(-0.085,0.275)","0.076(-0.151,0.304)","-0.552(-0.709,-0.397)","-0.019(-0.201,0.146)","0.127(-0.036,0.302)","-0.073(-0.27,0.119)","-0.05(-0.249,0.13)","0.175(-0.075,0.425)","0.055(-0.22,0.332)"
"12","0.114(-0.04,0.264)","-0.18(-0.289,-0.072)","-0.149(-0.296,0.005)","-0.249(-0.432,-0.076)","-0.185(-0.396,0.002)","-0.172(-0.321,-0.023)","0.29(0.109,0.472)","-0.137(-0.222,-0.055)","-0.288(-0.425,-0.161)","-0.171(-0.381,0.039)","-0.158(-0.325,0.001)","Olanzapine","-0.066(-0.176,0.043)","-0.082(-0.27,0.096)","-0.71(-0.789,-0.634)","-0.177(-0.3,-0.067)","-0.031(-0.127,0.072)","-0.231(-0.377,-0.092)","-0.208(-0.352,-0.087)","0.017(-0.196,0.226)","-0.103(-0.348,0.136)"
"13","0.18(0.003,0.356)","-0.114(-0.251,0.021)","-0.083(-0.249,0.092)","-0.184(-0.38,0.009)","-0.119(-0.342,0.08)","-0.106(-0.274,0.061)","0.355(0.153,0.557)","-0.071(-0.191,0.047)","-0.222(-0.382,-0.072)","-0.105(-0.329,0.117)","-0.092(-0.275,0.085)","0.066(-0.043,0.176)","Paliperidone","-0.016(-0.22,0.182)","-0.645(-0.757,-0.534)","-0.111(-0.257,0.026)","0.035(-0.091,0.17)","-0.165(-0.331,-0.002)","-0.142(-0.306,0.006)","0.082(-0.143,0.309)","-0.037(-0.296,0.216)"
"14","0.196(-0.023,0.418)","-0.098(-0.29,0.1)","-0.067(-0.285,0.157)","-0.167(-0.403,0.076)","-0.103(-0.355,0.141)","-0.09(-0.303,0.125)","0.372(0.131,0.619)","-0.055(-0.234,0.13)","-0.206(-0.411,-0.003)","-0.089(-0.35,0.174)","-0.076(-0.304,0.151)","0.082(-0.096,0.27)","0.016(-0.182,0.22)","Perphenazine","-0.629(-0.801,-0.45)","-0.095(-0.281,0.095)","0.051(-0.129,0.247)","-0.149(-0.368,0.067)","-0.126(-0.326,0.072)","0.099(-0.163,0.36)","-0.021(-0.298,0.258)"
"15","0.825(0.674,0.974)","0.531(0.432,0.632)","0.562(0.422,0.714)","0.461(0.291,0.635)","0.525(0.326,0.709)","0.538(0.405,0.673)","1(0.823,1.178)","0.573(0.504,0.643)","0.423(0.303,0.537)","0.54(0.343,0.742)","0.552(0.397,0.709)","0.71(0.634,0.789)","0.645(0.534,0.757)","0.629(0.45,0.801)","Placebo","0.534(0.428,0.633)","0.68(0.593,0.779)","0.48(0.344,0.613)","0.503(0.375,0.616)","0.727(0.521,0.93)","0.608(0.37,0.843)"
"16","0.291(0.125,0.463)","-0.003(-0.13,0.131)","0.028(-0.134,0.213)","-0.073(-0.251,0.12)","-0.008(-0.209,0.194)","0.005(-0.139,0.157)","0.466(0.271,0.666)","0.04(-0.06,0.15)","-0.111(-0.249,0.031)","0.006(-0.204,0.219)","0.019(-0.146,0.201)","0.177(0.067,0.3)","0.111(-0.026,0.257)","0.095(-0.095,0.281)","-0.534(-0.633,-0.428)","Quetiapine","0.146(0.034,0.285)","-0.054(-0.206,0.102)","-0.031(-0.173,0.105)","0.193(-0.024,0.414)","0.074(-0.173,0.322)"
"17","0.145(-0.019,0.296)","-0.149(-0.276,-0.035)","-0.118(-0.275,0.039)","-0.219(-0.408,-0.042)","-0.154(-0.375,0.029)","-0.142(-0.298,0.006)","0.32(0.131,0.502)","-0.106(-0.213,-0.018)","-0.257(-0.407,-0.131)","-0.14(-0.353,0.074)","-0.127(-0.302,0.036)","0.031(-0.072,0.127)","-0.035(-0.17,0.091)","-0.051(-0.247,0.129)","-0.68(-0.779,-0.593)","-0.146(-0.285,-0.034)","Risperidone","-0.2(-0.364,-0.056)","-0.177(-0.338,-0.054)","0.047(-0.17,0.256)","-0.072(-0.318,0.166)"
"18","0.345(0.157,0.538)","0.051(-0.103,0.208)","0.082(-0.102,0.286)","-0.018(-0.223,0.195)","0.046(-0.175,0.266)","0.059(-0.122,0.242)","0.521(0.31,0.738)","0.094(-0.035,0.226)","-0.057(-0.223,0.108)","0.06(-0.174,0.296)","0.073(-0.119,0.27)","0.231(0.092,0.377)","0.165(0.002,0.331)","0.149(-0.067,0.368)","-0.48(-0.613,-0.344)","0.054(-0.102,0.206)","0.2(0.056,0.364)","Sertindole","0.023(-0.144,0.188)","0.248(0.008,0.486)","0.128(-0.129,0.388)"
"19","0.322(0.145,0.506)","0.028(-0.109,0.177)","0.059(-0.11,0.26)","-0.041(-0.233,0.173)","0.023(-0.188,0.232)","0.036(-0.132,0.208)","0.497(0.295,0.704)","0.071(-0.045,0.205)","-0.08(-0.226,0.07)","0.037(-0.185,0.268)","0.05(-0.13,0.249)","0.208(0.087,0.352)","0.142(-0.006,0.306)","0.126(-0.072,0.326)","-0.503(-0.616,-0.375)","0.031(-0.105,0.173)","0.177(0.054,0.338)","-0.023(-0.188,0.144)","Ziprasidone","0.224(-0.003,0.451)","0.105(-0.141,0.362)"
"20","0.098(-0.147,0.345)","-0.196(-0.414,0.022)","-0.165(-0.404,0.079)","-0.266(-0.525,-0.004)","-0.202(-0.473,0.068)","-0.189(-0.415,0.035)","0.273(0.024,0.521)","-0.154(-0.357,0.048)","-0.304(-0.533,-0.078)","-0.187(-0.463,0.089)","-0.175(-0.425,0.075)","-0.017(-0.226,0.196)","-0.082(-0.309,0.143)","-0.099(-0.36,0.163)","-0.727(-0.93,-0.521)","-0.193(-0.414,0.024)","-0.047(-0.256,0.17)","-0.248(-0.486,-0.008)","-0.224(-0.451,0.003)","Zotepine","-0.12(-0.414,0.179)"
"21","0.217(-0.052,0.48)","-0.077(-0.326,0.169)","-0.046(-0.31,0.231)","-0.146(-0.432,0.141)","-0.082(-0.381,0.211)","-0.069(-0.32,0.181)","0.393(0.111,0.668)","-0.034(-0.266,0.197)","-0.185(-0.44,0.066)","-0.068(-0.365,0.243)","-0.055(-0.332,0.22)","0.103(-0.136,0.348)","0.037(-0.216,0.296)","0.021(-0.258,0.298)","-0.608(-0.843,-0.37)","-0.074(-0.322,0.173)","0.072(-0.166,0.318)","-0.128(-0.388,0.129)","-0.105(-0.362,0.141)","0.12(-0.179,0.414)","Zuclopenthixol"
