"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"11","0.429(0.24,0.608)","0.153(-0.025,0.313)","0.218(0.026,0.422)","-0.033(-0.375,0.193)","0.069(-0.16,0.342)","0.073(-0.12,0.296)","0.594(0.338,0.848)","0.188(0.003,0.317)","0.094(-0.134,0.263)","0.087(-0.187,0.313)","Lurasidone","0.315(0.147,0.468)","0.269(0.091,0.464)","0.237(-0.051,0.418)","0.13(-0.059,0.284)","0.281(0.069,0.431)","0.123(-0.083,0.336)","0.134(-0.09,0.311)","0.319(0.13,0.556)","0.183(-0.087,0.392)"
"12","0.114(-0.001,0.249)","-0.162(-0.237,-0.081)","-0.097(-0.228,0.034)","-0.347(-0.559,-0.137)","-0.246(-0.461,-0.048)","-0.241(-0.405,-0.072)","0.28(0.076,0.436)","-0.126(-0.193,-0.063)","-0.221(-0.341,-0.104)","-0.228(-0.469,-0.024)","-0.315(-0.468,-0.147)","Olanzapine","-0.046(-0.154,0.075)","-0.078(-0.253,0.084)","-0.185(-0.281,-0.071)","-0.033(-0.113,0.039)","-0.191(-0.333,-0.06)","-0.181(-0.294,-0.067)","0.004(-0.16,0.21)","-0.132(-0.318,0.056)"
"13","0.16(-0.018,0.332)","-0.116(-0.278,0.002)","-0.051(-0.207,0.15)","-0.301(-0.564,-0.063)","-0.2(-0.4,0.015)","-0.196(-0.429,0.021)","0.325(0.087,0.531)","-0.081(-0.206,0.033)","-0.175(-0.356,-0.022)","-0.182(-0.441,0.055)","-0.269(-0.464,-0.091)","0.046(-0.075,0.154)","Paliperidone","-0.032(-0.228,0.143)","-0.139(-0.306,-0.007)","0.012(-0.13,0.129)","-0.146(-0.31,-0.008)","-0.135(-0.262,0.043)","0.05(-0.169,0.306)","-0.086(-0.318,0.121)"
"14","0.192(0.007,0.396)","-0.084(-0.245,0.074)","-0.019(-0.219,0.215)","-0.269(-0.524,-0.016)","-0.168(-0.376,0.047)","-0.163(-0.359,0.059)","0.358(0.141,0.609)","-0.048(-0.2,0.132)","-0.143(-0.301,0.058)","-0.15(-0.44,0.097)","-0.237(-0.418,0.051)","0.078(-0.084,0.253)","0.032(-0.143,0.228)","Perphenazine","-0.107(-0.287,0.075)","0.045(-0.099,0.223)","-0.113(-0.298,0.091)","-0.103(-0.233,0.105)","0.082(-0.144,0.348)","-0.054(-0.255,0.172)"
"15","0.299(0.161,0.459)","0.023(-0.093,0.131)","0.088(-0.071,0.252)","-0.163(-0.381,0.059)","-0.061(-0.261,0.172)","-0.057(-0.195,0.109)","0.464(0.295,0.634)","0.058(-0.031,0.158)","-0.036(-0.178,0.113)","-0.043(-0.286,0.177)","-0.13(-0.284,0.059)","0.185(0.071,0.281)","0.139(0.007,0.306)","0.107(-0.075,0.287)","Quetiapine","0.151(0.05,0.265)","-0.007(-0.195,0.139)","0.004(-0.11,0.164)","0.189(-0.006,0.389)","0.053(-0.12,0.245)"
"16","0.148(0.038,0.284)","-0.129(-0.213,-0.009)","-0.064(-0.195,0.073)","-0.314(-0.496,-0.094)","-0.212(-0.416,-0.015)","-0.208(-0.36,-0.026)","0.313(0.141,0.465)","-0.093(-0.161,-0.026)","-0.187(-0.292,-0.075)","-0.194(-0.416,0.027)","-0.281(-0.431,-0.069)","0.033(-0.039,0.113)","-0.012(-0.129,0.13)","-0.045(-0.223,0.099)","-0.151(-0.265,-0.05)","Risperidone","-0.158(-0.286,-0.031)","-0.148(-0.257,-0.031)","0.037(-0.148,0.229)","-0.098(-0.301,0.098)"
"17","0.306(0.134,0.481)","0.03(-0.109,0.193)","0.095(-0.087,0.286)","-0.156(-0.401,0.1)","-0.054(-0.263,0.166)","-0.05(-0.247,0.211)","0.471(0.283,0.701)","0.065(-0.068,0.208)","-0.029(-0.201,0.147)","-0.036(-0.323,0.239)","-0.123(-0.336,0.083)","0.191(0.06,0.333)","0.146(0.008,0.31)","0.113(-0.091,0.298)","0.007(-0.139,0.195)","0.158(0.031,0.286)","Sertindole","0.011(-0.142,0.171)","0.195(-0.008,0.437)","0.06(-0.179,0.284)"
"18","0.295(0.126,0.488)","0.019(-0.093,0.135)","0.084(-0.07,0.263)","-0.166(-0.396,0.078)","-0.065(-0.259,0.14)","-0.06(-0.235,0.125)","0.46(0.276,0.637)","0.054(-0.071,0.17)","-0.04(-0.155,0.108)","-0.047(-0.318,0.16)","-0.134(-0.311,0.09)","0.181(0.067,0.294)","0.135(-0.043,0.262)","0.103(-0.105,0.233)","-0.004(-0.164,0.11)","0.148(0.031,0.257)","-0.011(-0.171,0.142)","Ziprasidone","0.185(-0.028,0.392)","0.049(-0.115,0.221)"
"19","0.11(-0.121,0.346)","-0.166(-0.353,0.024)","-0.101(-0.321,0.077)","-0.351(-0.663,-0.07)","-0.25(-0.501,0.035)","-0.245(-0.466,-0.031)","0.276(0.037,0.491)","-0.13(-0.298,0.033)","-0.225(-0.4,-0.016)","-0.232(-0.552,0.009)","-0.319(-0.556,-0.13)","-0.004(-0.21,0.16)","-0.05(-0.306,0.169)","-0.082(-0.348,0.144)","-0.189(-0.389,0.006)","-0.037(-0.229,0.148)","-0.195(-0.437,0.008)","-0.185(-0.392,0.028)","Zotepine","-0.136(-0.358,0.086)"
"20","0.246(0.007,0.445)","-0.03(-0.198,0.15)","0.035(-0.201,0.236)","-0.216(-0.441,0.08)","-0.114(-0.335,0.115)","-0.11(-0.307,0.094)","0.411(0.215,0.645)","0.005(-0.16,0.185)","-0.089(-0.284,0.113)","-0.096(-0.384,0.17)","-0.183(-0.392,0.087)","0.132(-0.056,0.318)","0.086(-0.121,0.318)","0.054(-0.172,0.255)","-0.053(-0.245,0.12)","0.098(-0.098,0.301)","-0.06(-0.284,0.179)","-0.049(-0.221,0.115)","0.136(-0.086,0.358)","Zuclopenthixol"
