"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"11","0.248(-0.166,0.672)","-0.047(-0.404,0.312)","0.069(-0.332,0.473)","-0.138(-0.783,0.549)","-0.502(-1.38,0.418)","-0.042(-0.394,0.32)","0.502(0.087,0.918)","-0.016(-0.346,0.314)","-0.21(-0.621,0.192)","-0.109(-0.489,0.284)","Lurasidone","0.155(-0.178,0.495)","0.085(-0.264,0.442)","0.042(-0.349,0.438)","-0.582(-0.906,-0.255)","-0.094(-0.439,0.256)","0.143(-0.207,0.498)","-0.167(-0.555,0.219)","-0.155(-0.536,0.226)","0.401(-0.45,1.436)","0.044(-0.472,0.563)"
"12","0.093(-0.179,0.364)","-0.202(-0.358,-0.045)","-0.086(-0.341,0.18)","-0.293(-0.847,0.297)","-0.657(-1.487,0.254)","-0.197(-0.368,-0.026)","0.347(0.095,0.615)","-0.172(-0.276,-0.067)","-0.365(-0.635,-0.118)","-0.264(-0.501,-0.029)","-0.155(-0.495,0.178)","Olanzapine","-0.07(-0.21,0.065)","-0.114(-0.354,0.124)","-0.738(-0.828,-0.644)","-0.25(-0.403,-0.101)","-0.012(-0.16,0.148)","-0.322(-0.545,-0.11)","-0.311(-0.539,-0.093)","0.246(-0.559,1.258)","-0.112(-0.509,0.314)"
"13","0.163(-0.131,0.455)","-0.132(-0.321,0.058)","-0.016(-0.285,0.264)","-0.223(-0.789,0.372)","-0.587(-1.415,0.32)","-0.126(-0.326,0.076)","0.417(0.146,0.705)","-0.101(-0.251,0.05)","-0.295(-0.583,-0.03)","-0.194(-0.453,0.067)","-0.085(-0.442,0.264)","0.07(-0.065,0.21)","Paliperidone","-0.043(-0.304,0.212)","-0.667(-0.798,-0.532)","-0.179(-0.362,0.003)","0.058(-0.125,0.248)","-0.252(-0.498,-0.011)","-0.24(-0.488,0.002)","0.316(-0.498,1.326)","-0.041(-0.454,0.39)"
"14","0.206(-0.138,0.55)","-0.089(-0.347,0.179)","0.027(-0.293,0.356)","-0.18(-0.771,0.445)","-0.543(-1.397,0.375)","-0.083(-0.35,0.189)","0.46(0.129,0.804)","-0.058(-0.296,0.181)","-0.252(-0.588,0.076)","-0.151(-0.464,0.166)","-0.042(-0.438,0.349)","0.114(-0.124,0.354)","0.043(-0.212,0.304)","Perphenazine","-0.624(-0.851,-0.397)","-0.136(-0.393,0.117)","0.102(-0.135,0.371)","-0.209(-0.512,0.094)","-0.197(-0.501,0.114)","0.359(-0.476,1.385)","0.002(-0.428,0.459)"
"15","0.83(0.559,1.089)","0.535(0.392,0.676)","0.651(0.413,0.898)","0.444(-0.099,1.03)","0.081(-0.748,0.977)","0.541(0.39,0.694)","1.085(0.844,1.34)","0.566(0.487,0.646)","0.372(0.115,0.604)","0.473(0.254,0.693)","0.582(0.255,0.906)","0.738(0.644,0.828)","0.667(0.532,0.798)","0.624(0.397,0.851)","Placebo","0.488(0.354,0.618)","0.726(0.591,0.861)","0.415(0.206,0.615)","0.427(0.217,0.634)","0.983(0.188,1.991)","0.626(0.235,1.042)"
"16","0.342(0.045,0.629)","0.047(-0.142,0.236)","0.163(-0.107,0.437)","-0.044(-0.6,0.544)","-0.407(-1.235,0.487)","0.053(-0.129,0.242)","0.596(0.328,0.884)","0.078(-0.058,0.218)","-0.116(-0.396,0.155)","-0.015(-0.265,0.233)","0.094(-0.256,0.439)","0.25(0.101,0.403)","0.179(-0.003,0.362)","0.136(-0.117,0.393)","-0.488(-0.618,-0.354)","Quetiapine","0.238(0.057,0.432)","-0.073(-0.312,0.161)","-0.061(-0.299,0.177)","0.495(-0.316,1.487)","0.138(-0.27,0.569)"
"17","0.105(-0.187,0.382)","-0.19(-0.381,-0.013)","-0.074(-0.351,0.202)","-0.281(-0.849,0.318)","-0.645(-1.493,0.268)","-0.185(-0.382,0.014)","0.359(0.088,0.643)","-0.16(-0.306,-0.015)","-0.353(-0.634,-0.091)","-0.252(-0.507,0.003)","-0.143(-0.498,0.207)","0.012(-0.148,0.16)","-0.058(-0.248,0.125)","-0.102(-0.371,0.135)","-0.726(-0.861,-0.591)","-0.238(-0.432,-0.057)","Risperidone","-0.31(-0.553,-0.063)","-0.299(-0.552,-0.075)","0.258(-0.557,1.273)","-0.1(-0.503,0.327)"
"18","0.415(0.091,0.731)","0.12(-0.121,0.364)","0.236(-0.076,0.562)","0.029(-0.554,0.656)","-0.335(-1.181,0.574)","0.126(-0.122,0.378)","0.669(0.353,0.994)","0.151(-0.044,0.356)","-0.043(-0.364,0.263)","0.058(-0.236,0.354)","0.167(-0.219,0.555)","0.322(0.11,0.545)","0.252(0.011,0.498)","0.209(-0.094,0.512)","-0.415(-0.615,-0.206)","0.073(-0.161,0.312)","0.31(0.063,0.553)","Sertindole","0.012(-0.27,0.302)","0.568(-0.255,1.586)","0.211(-0.219,0.664)"
"19","0.403(0.061,0.728)","0.108(-0.134,0.348)","0.224(-0.087,0.546)","0.017(-0.57,0.639)","-0.346(-1.183,0.571)","0.114(-0.138,0.372)","0.658(0.341,0.989)","0.139(-0.078,0.353)","-0.055(-0.39,0.262)","0.046(-0.251,0.346)","0.155(-0.226,0.536)","0.311(0.093,0.539)","0.24(-0.002,0.488)","0.197(-0.114,0.501)","-0.427(-0.634,-0.217)","0.061(-0.177,0.299)","0.299(0.075,0.552)","-0.012(-0.302,0.27)","Ziprasidone","0.556(-0.269,1.585)","0.199(-0.244,0.658)"
"20","-0.153(-1.184,0.677)","-0.448(-1.464,0.353)","-0.332(-1.357,0.509)","-0.539(-1.703,0.51)","-0.903(-2.223,0.37)","-0.442(-1.446,0.369)","0.101(-0.948,0.925)","-0.417(-1.424,0.374)","-0.611(-1.656,0.225)","-0.51(-1.549,0.334)","-0.401(-1.436,0.45)","-0.246(-1.258,0.559)","-0.316(-1.326,0.498)","-0.359(-1.385,0.476)","-0.983(-1.991,-0.188)","-0.495(-1.487,0.316)","-0.258(-1.273,0.557)","-0.568(-1.586,0.255)","-0.556(-1.585,0.269)","Zotepine","-0.357(-1.513,0.582)"
"21","0.204(-0.292,0.677)","-0.091(-0.522,0.317)","0.025(-0.446,0.482)","-0.182(-0.873,0.523)","-0.545(-1.457,0.471)","-0.085(-0.527,0.317)","0.459(-0.011,0.922)","-0.06(-0.475,0.334)","-0.254(-0.725,0.18)","-0.153(-0.607,0.278)","-0.044(-0.563,0.472)","0.112(-0.314,0.509)","0.041(-0.39,0.454)","-0.002(-0.459,0.428)","-0.626(-1.042,-0.235)","-0.138(-0.569,0.27)","0.1(-0.327,0.503)","-0.211(-0.664,0.219)","-0.199(-0.658,0.244)","0.357(-0.582,1.513)","Zuclopenthixol"
